Date,Name,Year,Letterboxd URI
2024-10-28,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
2024-10-29,Moneyball,2011,https://boxd.it/glS
2024-10-31,Frozen II,2019,https://boxd.it/aPvo
2024-10-31,Skyfall,2012,https://boxd.it/17Fc
2024-10-31,The Battle at Lake Changjin,2021,https://boxd.it/thB6
2024-10-31,Spectre,2015,https://boxd.it/6bXY
2024-10-31,Independence Day,1996,https://boxd.it/2a1w
2024-10-31,Do the Right Thing,1989,https://boxd.it/29gA
2024-10-31,Malcolm X,1992,https://boxd.it/27WE
2024-11-01,The Cremator,1969,https://boxd.it/1H8y
2024-11-01,Cabin Fever,2002,https://boxd.it/1TAu
2024-11-02,Small Things Like These,2024,https://boxd.it/FHIm
2024-11-10,Central Station,1998,https://boxd.it/29RG
2024-11-13,The Given Word,1962,https://boxd.it/h6Y
2024-12-09,The Banshees of Inisherin,2022,https://boxd.it/p7XS
2024-12-10,Lost Highway,1997,https://boxd.it/29Wc
2024-12-16,Before Midnight,2013,https://boxd.it/4ive
2024-12-17,Clown,2014,https://boxd.it/3LJ8
2024-12-17,Goodnight Mommy,2014,https://boxd.it/8Niy
2024-12-18,13 Sins,2014,https://boxd.it/4Ste
2024-12-28,Araby,2017,https://boxd.it/fpKs
2024-12-28,Carandiru,2003,https://boxd.it/209g
2024-12-29,Beetlejuice Beetlejuice,2024,https://boxd.it/yyGs
2024-12-29,Creed II,2018,https://boxd.it/hgl8
2024-12-29,All the Bright Places,2020,https://boxd.it/bpfQ
2024-12-30,Friendly Beast,2017,https://boxd.it/gvzC
2024-12-30,Haru,1996,https://boxd.it/7Lo8
2025-01-02,Nights and Weekends,2008,https://boxd.it/J2A
2025-01-03,The King,2019,https://boxd.it/ieZs
2025-01-04,Trainspotting,1996,https://boxd.it/29XY
2025-01-05,Love & Other Drugs,2010,https://boxd.it/UIi
2025-01-06,Yesterday,2019,https://boxd.it/iF7M
2025-01-06,The Great Gatsby,2013,https://boxd.it/JY
2025-01-06,Natural Born Killers,1994,https://boxd.it/2aNg
2025-01-06,Playing,2007,https://boxd.it/33Oe
